"OBJECTID","GEOID10","GEOID20","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","CSA","CSA_Name","CBSA","CBSA_Name","CBSA_POP","CBSA_EMP","CBSA_WRK","Ac_Total","Ac_Water","Ac_Land","Ac_Unpr","TotPop","CountHU","HH","P_WrkAge","AutoOwn0","Pct_AO0","AutoOwn1","Pct_AO1","AutoOwn2p","Pct_AO2p","Workers","R_LowWageWk","R_MedWageWk","R_HiWageWk","R_PCTLOWWAGE","TotEmp","E5_Ret","E5_Off","E5_Ind","E5_Svc","E5_Ent","E8_Ret","E8_off","E8_Ind","E8_Svc","E8_Ent","E8_Ed","E8_Hlth","E8_Pub","E_LowWageWk","E_MedWageWk","E_HiWageWk","E_PctLowWage","D1A","D1B","D1C","D1C5_RET","D1C5_OFF","D1C5_IND","D1C5_SVC","D1C5_ENT","D1C8_RET","D1C8_OFF","D1C8_IND","D1C8_SVC","D1C8_ENT","D1C8_ED","D1C8_HLTH","D1C8_PUB","D1D","D1_FLAG","D2A_JPHH","D2B_E5MIX","D2B_E5MIXA","D2B_E8MIX","D2B_E8MIXA","D2A_EPHHM","D2C_TRPMX1","D2C_TRPMX2","D2C_TRIPEQ","D2R_JOBPOP","D2R_WRKEMP","D2A_WRKEMP","D2C_WREMLX","D3A","D3AAO","D3AMM","D3APO","D3B","D3BAO","D3BMM3","D3BMM4","D3BPO3","D3BPO4","D4A","D4B025","D4B050","D4C","D4D","D4E","D5AR","D5AE","D5BR","D5BE","D5CR","D5CRI","D5CE","D5CEI","D5DR","D5DRI","D5DE","D5DEI","D2A_Ranked","D2B_Ranked","D3B_Ranked","D4A_Ranked","NatWalkInd","Shape_Length","Shape_Area"
97399,1.9163e+11,1.9163e+11,19,163,13600,1,209,"Davenport-Moline, IA-IL",19340,"Davenport-Moline-Rock Island, IA-IL",382720,178110,175828,173.7933372,0,173.7933372,173.7933372,1581,590,568,0.543,8,0.014084507,102,0.179577465,458,0.806338028,749,166,217,366,0.221628838,179,27,4,11,137,0,27,4,11,77,0,55,5,0,66,60,53,0.368715084,3.394836704,9.097011574,1.029958932,0.155356934,0.023015842,0.063293566,0.788292591,0,0.155356934,0.023015842,0.063293566,0.44305496,0,0.316467828,0.028769803,0,4.424795636,0,0.315140845,0.53837128,0.46372778,0.762986821,0.657430774,0.453257363,0.484295373,0.53132991,0.754544498,0.203409091,0.385775862,4.184357542,0.041404838,21.47825664,0,1.687620977,19.79063566,114.1917194,0,3.68253473,18.41267365,95.74590297,29.46027784,-99999,0,0,-99999,-99999,-99999,45278,38978,-99999,-99999,0.00483235,0.855819756,0.004565518,0.85945493,-99999,-99999,-99999,-99999,9,14,15,1,9.166666667,3425.46643,703333.2799
97400,1.9163e+11,1.9163e+11,19,163,13600,2,209,"Davenport-Moline, IA-IL",19340,"Davenport-Moline-Rock Island, IA-IL",382720,178110,175828,217.4087111,0,217.4087111,217.4087111,1413,578,552,0.568,0,0,145,0.262681159,407,0.737318841,533,113,146,274,0.212007505,647,36,76,7,460,68,36,56,7,164,68,5,291,20,143,260,244,0.221020093,2.658587124,6.499279596,2.975961712,0.165586741,0.349572009,0.032197422,2.115830583,0.312774956,0.165586741,0.257579375,0.032197422,0.754339599,0.312774956,0.022998159,1.338492825,0.091992634,5.634548836,0,1.172101449,0.584413577,0.584413577,0.726443988,0.726443988,0.668368674,0.599320682,0.664567281,0.513398331,0.62815534,0.903389831,0.823802164,0.838452091,17.4632267,2.202832473,2.585629611,12.67476461,66.74985527,0,11.77505716,5.887528579,61.81905008,11.77505716,-99999,0,0,-99999,-99999,-99999,44958,38627,-99999,-99999,0.004798198,0.849771292,0.004524406,0.85171547,-99999,-99999,-99999,-99999,15,16,11,1,9.166666667,3907.76117,879841.0388
97401,1.9163e+11,1.9163e+11,19,163,13702,1,209,"Davenport-Moline, IA-IL",19340,"Davenport-Moline-Rock Island, IA-IL",382720,178110,175828,1268.863936,311.3548956,957.5090406,929.42718,846,341,304,0.615,0,0,11,0.036184211,293,0.963815789,498,120,106,272,0.240963855,821,12,3,546,258,2,12,3,546,177,2,79,2,0,104,241,476,0.126674787,0.366892649,0.910238067,0.883339779,0.012911178,0.003227795,0.587458611,0.277590333,0.002151863,0.012911178,0.003227795,0.587458611,0.190439879,0.002151863,0.08499859,0.002151863,0,1.250232428,0,2.700657895,0.454796684,0.454796684,0.482511938,0.451527421,0.623774023,0.543181214,0.463013807,0.52408567,0.985002999,0.755117513,0.606577345,0.674743503,8.032344691,0.992834027,1.157462854,5.88204781,16.49479987,4.010405998,4.010405998,0.668401,18.71522799,0.668401,-99999,0,0,-99999,-99999,-99999,32206,28855,-99999,-99999,0.003437225,0.608740029,0.003379805,0.63624537,-99999,-99999,-99999,-99999,14,7,6,1,5.833333333,10202.32563,5135026.593
97402,1.9163e+11,1.9163e+11,19,163,13702,2,209,"Davenport-Moline, IA-IL",19340,"Davenport-Moline-Rock Island, IA-IL",382720,178110,175828,1190.335803,181.104532,1009.231271,1006.767595,1175,567,415,0.516,3,0.007228916,88,0.212048193,324,0.780722892,611,127,146,338,0.207855974,841,76,24,233,505,3,76,24,233,34,3,419,52,0,231,218,392,0.274673008,0.563188568,1.167101529,0.835346712,0.07548912,0.02383867,0.23143375,0.501605338,0.002979834,0.07548912,0.02383867,0.23143375,0.033771449,0.002979834,0.416183439,0.051650451,0,1.398535279,0,2.026506024,0.621772866,0.621772866,0.690350573,0.646019693,0.728071706,0.501027179,0.505734926,0.474115496,0.834325397,0.841597796,0.726516052,0.760724548,9.218200007,0.526746484,1.436196119,7.255257404,33.41251996,2.536584104,10.78048244,1.902438078,31.7073013,3.17073013,-99999,0,0,-99999,-99999,-99999,29477,25895,-99999,-99999,0.003145969,0.557157978,0.003033098,0.570978127,-99999,-99999,-99999,-99999,17,13,8,1,8,12048.6931,4817224.023
97403,1.9163e+11,1.9163e+11,19,163,13703,2,209,"Davenport-Moline, IA-IL",19340,"Davenport-Moline-Rock Island, IA-IL",382720,178110,175828,244.7851672,0,244.7851672,231.64283,1502,555,555,0.626,0,0,109,0.196396396,446,0.803603604,863,203,231,429,0.235225956,339,35,1,6,127,170,35,1,6,31,170,52,44,0,183,104,52,0.539823009,2.395929975,6.484120402,1.463459931,0.151094683,0.004316991,0.025901946,0.54825785,0.733888461,0.151094683,0.004316991,0.025901946,0.133826719,0.733888461,0.224483529,0.189947602,0,3.859389906,0,0.610810811,0.644298307,0.644298307,0.740253042,0.692717674,0.589854527,0.672386281,0.745628882,0.611033766,0.36827811,0.5640599,2.545722714,0.213157763,19.25137781,1.178083167,3.181519916,14.89177473,110.7282778,2.614537504,41.83260006,15.68722502,96.73788764,2.614537504,-99999,0,0,-99999,-99999,-99999,40961,34983,-99999,-99999,0.004371613,0.774222205,0.004097582,0.771366202,-99999,-99999,-99999,-99999,13,15,15,1,10,5241.235343,990632.4858
97404,1.9163e+11,1.9163e+11,19,163,13705,3,209,"Davenport-Moline, IA-IL",19340,"Davenport-Moline-Rock Island, IA-IL",382720,178110,175828,252.3745966,0,252.3745966,252.3746,2342,895,845,0.587,0,0,238,0.281656805,607,0.718343195,964,250,263,451,0.2593361,328,0,1,16,311,0,0,1,16,306,0,0,5,0,123,117,88,0.375,3.546315675,9.279856214,1.299655354,0,0.003962364,0.063397822,1.232295168,0,0,0.003962364,0.063397822,1.212483348,0,0,0.019811819,0,4.845971029,0,0.38816568,0.196121721,0.133873902,0.211748075,0.141165383,0.470929679,0.393858102,0.431464264,0.961389375,0.245692884,0.507739938,2.93902439,0.143844217,15.7349162,0,1.343947373,14.39096883,78.64626736,0,30.43095503,2.535912919,68.46964882,10.14365168,-99999,0,0,-99999,-99999,-99999,38501,33234,-99999,-99999,0.004109067,0.727724644,0.00389272,0.7328012,-99999,-99999,-99999,-99999,9,2,12,1,6.166666667,4235.950488,1021345.734
97405,1.91391e+11,1.91391e+11,19,139,50600,1,209,"Davenport-Moline, IA-IL",34700,"Muscatine, IA",42950,23539,21036,3819.417287,0,3819.417287,3819.417287,2527,919,871,0.504,15,0.017221584,199,0.22847302,657,0.754305396,1133,245,266,622,0.216240071,278,22,12,128,116,0,22,12,128,5,0,59,52,0,68,114,96,0.244604317,0.24061262,0.66161925,0.072785972,0.005760041,0.003141841,0.033512966,0.030371125,0,0.005760041,0.003141841,0.033512966,0.0013091,0,0.015447383,0.013614642,0,0.313398592,0,0.319173364,0.763332333,0.657498684,0.785993238,0.677254349,0.502876489,0.453686436,0.456584174,0.303781811,0.198217469,0.394046775,4.075539568,0.046164713,4.842943823,1.064797686,0.029430886,3.748715252,7.320069503,1.675648278,0.167564828,0,9.048500701,1.172953795,-99999,0,0,1,0.167564828,0.000395726,12798,11818,-99999,-99999,0.027757053,0.662902725,0.028896844,0.728741444,-99999,-99999,-99999,-99999,10,15,5,1,6.166666667,18053.74941,15456969.36
97406,1.91391e+11,1.91391e+11,19,139,50600,2,209,"Davenport-Moline, IA-IL",34700,"Muscatine, IA",42950,23539,21036,830.7763926,0,830.7763926,823.16954,1888,908,908,0.572,37,0.040748899,304,0.334801762,567,0.624449339,1027,193,262,572,0.187925998,137,0,7,6,106,18,0,0,6,25,18,64,17,7,52,39,46,0.379562044,1.103053449,2.293573691,0.166429871,0,0.008503716,0.007288899,0.128770557,0.021866698,0,0,0.007288899,0.030370414,0.021866698,0.077748261,0.020651882,0.008503716,1.269483319,0,0.150881057,0.543981451,0.468560118,0.826304079,0.711988352,0.302800506,0.423262049,0.467336927,0.23686525,0.135308642,0.235395189,7.496350365,0.001508936,8.471553056,0.030952695,0.964546625,7.476053736,30.57111423,0,6.933273564,0,33.12564036,3.851818646,356.74,0,0,1,0.770363729,0.000529661,15995,14193,114,853,0.034690894,0.828498912,0.034704087,0.875192699,0.004320146,0.021830716,0.040046948,0.332424006,5,16,7,17,11.5,8277.602616,3362107.507
97407,1.91391e+11,1.91391e+11,19,139,50600,3,209,"Davenport-Moline, IA-IL",34700,"Muscatine, IA",42950,23539,21036,410.5825955,0,410.5825955,410.5825955,550,412,364,0.518,24,0.065934066,206,0.565934066,134,0.368131868,556,119,143,294,0.214028777,576,26,25,26,494,5,26,25,26,16,5,432,46,0,162,200,214,0.28125,1.003452179,1.339559947,1.402884599,0.063324652,0.060889089,0.063324652,1.203168389,0.012177818,0.063324652,0.060889089,0.063324652,0.038969017,0.012177818,1.05216345,0.112035923,0,2.406336778,0,1.582417582,0.365816727,0.365816727,0.500639702,0.468491111,0.57388641,0.399933598,0.435239099,0.470826339,0.976909414,0.982332155,0.965277778,0.965873677,14.02790502,0,1.894085098,12.13381992,88.88676822,0,17.14636733,1.558760666,95.08440062,12.47008533,720.18,0,0,1,1.558760666,0.001818182,13198,11796,420,405,0.028624597,0.683621672,0.02884305,0.727384843,0.015916326,0.080428954,0.019014085,0.157833203,12,7,13,14,12.16666667,5783.608908,1661606.232
97408,1.91391e+11,1.91391e+11,19,139,50700,2,209,"Davenport-Moline, IA-IL",34700,"Muscatine, IA",42950,23539,21036,318.6475579,2.8932939,315.754264,296.90979,1848,670,618,0.535,31,0.050161812,209,0.338187702,378,0.611650485,635,160,231,244,0.251968504,535,83,50,39,263,100,83,44,39,49,100,135,79,6,229,190,116,0.428037383,2.256577663,6.224112718,1.801894104,0.279546188,0.168401318,0.131353028,0.885790933,0.336802636,0.279546188,0.14819316,0.131353028,0.165033292,0.336802636,0.454683559,0.266074083,0.020208158,4.058471767,0,0.865695793,0.847541912,0.847541912,0.912808384,0.912808384,0.73865387,0.737303132,0.808755725,0.587782302,0.449013848,0.914529915,1.186915888,0.829513506,18.52564005,0,1.294038078,17.23160198,100.7081887,0,8.107570639,2.02689266,109.4522036,20.2689266,0,0,0,2,4.05378532,0.001082251,18386,15474,440,1294,0.039876635,0.952346421,0.037836331,0.954183881,0.016674246,0.084258905,0.060751174,0.504286828,17,20,14,20,17.5,5493.157069,1289546.818
